Graph 1, size: [100, 165]
Graph 93, size: [100, 150]
Graph 94, size: [100, 2000]
Graph 95, size: [100, 132]
Graph 96, size: [100, 2000]
Graph 97, size: [100, 1699]
Graph 98, size: [100, 180]
Graph 99, size: [100, 1559]
Graph 100, size: [100, 1575]
Graph 101, size: [100, 99]
Graph 102, size: [100, 477]
Graph 103, size: [100, 2000]
Graph 104, size: [96, 1999]
Graph 105, size: [95, 1999]
Graph 106, size: [100, 1142]
Graph 107, size: [100, 1628]
Graph 108, size: [100, 1295]
Graph 109, size: [100, 2000]
Graph 110, size: [100, 101]
Graph 111, size: [100, 965]
Graph 112, size: [100, 300]
Graph 113, size: [100, 2000]
Graph 114, size: [100, 163]
Graph 115, size: [98, 154]
Graph 116, size: [98, 154]
Graph 117, size: [98, 154]
Graph 118, size: [98, 154]
Graph 119, size: [98, 154]
Graph 120, size: [11, 16]
Graph 121, size: [6, 12]
Graph 122, size: [10, 21]
Graph 123, size: [63, 1953]
Graph 124, size: [12, 33]
Graph 125, size: [20, 190]
Graph 126, size: [10, 21]
Graph 127, size: [50, 85]
Graph 128, size: [60, 275]
Graph 129, size: [10, 9]
Graph 130, size: [1, 0]
Graph 131, size: [2, 1]
Graph 132, size: [60, 60]
Graph 133, size: [60, 60]
Graph 134, size: [100, 100]
Graph 135, size: [100, 100]
Graph 136, size: [100, 985]
Graph 137, size: [100, 975]
Graph 138, size: [100, 975]
Graph 139, size: [100, 967]
Graph 140, size: [100, 975]
Graph 141, size: [64, 2000]
Graph 142, size: [70, 2000]
Graph 143, size: [80, 2000]
Graph 144, size: [100, 2000]
Graph 145, size: [64, 2000]
Graph 146, size: [64, 2000]
Graph 147, size: [70, 2000]
Graph 148, size: [70, 2000]
Graph 149, size: [80, 2000]
Graph 150, size: [80, 2000]
Graph 151, size: [100, 2000]
Graph 152, size: [100, 2000]
Graph 153, size: [3, 3]
Graph 154, size: [4, 4]
Graph 155, size: [20, 25]
Graph 156, size: [7, 10]
Graph 157, size: [6, 7]
Graph 158, size: [4, 6]
Graph 159, size: [2, 1]
Graph 160, size: [9, 12]
Graph 161, size: [9, 17]
Graph 162, size: [50, 1138]
Graph 163, size: [16, 33]
Graph 164, size: [23, 63]
Graph 165, size: [18, 78]
Graph 166, size: [19, 52]
Graph 167, size: [60, 1454]
Graph 168, size: [20, 51]
Graph 169, size: [99, 169]
Graph 170, size: [99, 188]
Graph 171, size: [99, 212]
Graph 172, size: [99, 134]
Graph 173, size: [99, 178]
Graph 174, size: [99, 252]
Graph 175, size: [100, 180]
Graph 176, size: [100, 1985]
Graph 177, size: [100, 284]
Graph 178, size: [100, 168]
Graph 179, size: [100, 130]
Graph 180, size: [100, 242]
Graph 181, size: [100, 134]
Graph 182, size: [100, 132]
Graph 183, size: [100, 239]
Graph 184, size: [100, 260]
Graph 185, size: [50, 1225]
Graph 186, size: [50, 50]
Graph 187, size: [50, 50]
Graph 188, size: [50, 601]
Graph 189, size: [50, 49]
Graph 190, size: [50, 59]
Graph 191, size: [50, 645]
Graph 192, size: [75, 595]
Graph 193, size: [100, 1979]
Graph 194, size: [100, 315]
Graph 195, size: [100, 105]
Graph 196, size: [30, 98]
Graph 197, size: [30, 29]
Graph 198, size: [7, 9]
Graph 199, size: [10, 15]
Graph 200, size: [8, 9]
Graph 201, size: [15, 16]
Graph 202, size: [16, 18]
Graph 203, size: [16, 20]
Graph 204, size: [23, 25]
Graph 205, size: [100, 342]
Graph 206, size: [100, 382]
Graph 207, size: [100, 473]
Graph 208, size: [100, 464]
Graph 209, size: [75, 1930]
Graph 210, size: [79, 283]
Graph 211, size: [67, 571]
Graph 212, size: [57, 355]
Graph 213, size: [27, 316]
Graph 214, size: [100, 1166]
Graph 215, size: [42, 119]
Graph 216, size: [94, 1025]
Graph 217, size: [39, 593]
Graph 218, size: [53, 1353]
Graph 219, size: [25, 299]
Graph 220, size: [90, 1495]
Graph 221, size: [11, 46]
Graph 222, size: [95, 640]
Graph 223, size: [32, 311]
Graph 224, size: [50, 1116]
Graph 225, size: [71, 1592]
Graph 226, size: [13, 48]
Graph 227, size: [25, 178]
Graph 228, size: [17, 88]
Graph 229, size: [8, 14]
Graph 230, size: [100, 148]
Graph 231, size: [99, 195]
Graph 232, size: [100, 295]
Graph 233, size: [100, 1030]
Graph 234, size: [100, 1275]
Graph 235, size: [5, 5]
Graph 236, size: [6, 7]
Graph 237, size: [6, 5]
Graph 238, size: [6, 12]
Graph 239, size: [2, 1]
Graph 240, size: [6, 7]
Graph 241, size: [17, 21]
Graph 242, size: [10, 14]
Graph 243, size: [8, 14]
Graph 244, size: [100, 99]
Graph 245, size: [50, 980]
Graph 246, size: [10, 40]
Graph 247, size: [4, 3]
Graph 248, size: [8, 12]
Graph 249, size: [9, 14]
Graph 250, size: [7, 10]
Graph 251, size: [6, 9]
Graph 252, size: [98, 147]
Graph 253, size: [96, 164]
Graph 254, size: [96, 170]
Graph 255, size: [96, 212]
Graph 256, size: [100, 190]
Graph 257, size: [100, 99]
Graph 258, size: [85, 160]
Graph 259, size: [98, 166]
Graph 260, size: [98, 125]
Graph 261, size: [100, 1705]
Graph 262, size: [100, 654]
Graph 263, size: [100, 1836]
Graph 264, size: [100, 737]
Graph 265, size: [100, 711]
Graph 266, size: [100, 966]
Graph 267, size: [100, 322]
Graph 268, size: [100, 298]
Graph 269, size: [100, 164]
Graph 270, size: [100, 282]
Graph 271, size: [76, 217]
Graph 272, size: [93, 325]
Graph 273, size: [86, 226]
Graph 274, size: [98, 220]
Graph 275, size: [89, 204]
Graph 276, size: [91, 496]
Graph 277, size: [88, 388]
Graph 278, size: [82, 437]
Graph 279, size: [94, 364]
Graph 280, size: [80, 568]
Graph 281, size: [20, 21]
Graph 282, size: [100, 165]
Graph 283, size: [100, 161]
Graph 284, size: [94, 182]
Graph 285, size: [100, 360]
Graph 286, size: [100, 444]
Graph 287, size: [100, 375]
Graph 288, size: [100, 391]
Graph 289, size: [100, 358]
Graph 290, size: [100, 372]
Graph 291, size: [100, 376]
Graph 292, size: [100, 369]
Graph 293, size: [100, 148]
Graph 294, size: [100, 165]
Graph 295, size: [100, 1693]
Graph 296, size: [100, 1717]
Graph 297, size: [100, 1710]
Graph 298, size: [100, 1682]
Graph 299, size: [100, 1696]
Graph 300, size: [100, 1701]
Graph 301, size: [100, 1690]
Graph 302, size: [100, 1702]
Graph 303, size: [100, 1674]
Graph 304, size: [100, 1700]
Graph 305, size: [100, 1714]
Graph 306, size: [100, 1703]
Graph 307, size: [100, 1711]
Graph 308, size: [100, 1705]
Graph 309, size: [100, 1691]
Graph 310, size: [100, 1702]
Graph 311, size: [100, 1695]
Graph 312, size: [100, 1689]
Graph 313, size: [100, 1693]
Graph 314, size: [100, 1673]
Graph 315, size: [13, 27]
Graph 316, size: [20, 21]
Graph 317, size: [2, 1]
Graph 318, size: [100, 99]
Graph 319, size: [100, 165]
Graph 320, size: [100, 2000]
Graph 321, size: [100, 350]
Graph 322, size: [100, 342]
Graph 323, size: [100, 339]
Graph 324, size: [100, 343]
Graph 325, size: [100, 352]
Graph 326, size: [100, 358]
Graph 327, size: [100, 347]
Graph 328, size: [100, 345]
Graph 329, size: [100, 300]
Graph 330, size: [100, 379]
Graph 331, size: [100, 380]
Graph 332, size: [100, 372]
Graph 333, size: [100, 376]
Graph 334, size: [20, 21]
Graph 335, size: [20, 50]
Graph 336, size: [50, 100]
Graph 337, size: [100, 363]
Graph 338, size: [80, 200]
Graph 339, size: [99, 333]
Graph 340, size: [90, 276]
Graph 341, size: [100, 423]
Graph 342, size: [100, 1007]
Graph 343, size: [100, 477]
Graph 344, size: [100, 367]
Graph 345, size: [100, 484]
Graph 346, size: [100, 404]
Graph 347, size: [100, 796]
Graph 348, size: [97, 174]
Graph 349, size: [97, 174]
Graph 350, size: [97, 174]
Graph 351, size: [99, 165]
Graph 352, size: [100, 2000]
Graph 353, size: [100, 196]
Graph 354, size: [100, 220]
Graph 355, size: [91, 135]
Graph 356, size: [11, 20]
Graph 357, size: [40, 780]
Graph 358, size: [100, 149]
Graph 359, size: [100, 155]
Graph 360, size: [100, 148]
Graph 361, size: [100, 120]
Graph 362, size: [100, 131]
Graph 363, size: [99, 507]
Graph 364, size: [99, 479]
Graph 365, size: [99, 459]
Graph 366, size: [99, 459]
Graph 367, size: [99, 413]
Graph 368, size: [100, 359]
Graph 369, size: [100, 326]
Graph 370, size: [100, 399]
Graph 371, size: [100, 312]
Graph 372, size: [100, 381]
Graph 373, size: [100, 280]
Graph 374, size: [100, 307]
Graph 375, size: [100, 343]
Graph 376, size: [60, 1770]
Graph 377, size: [100, 673]
Graph 378, size: [100, 512]
Graph 379, size: [100, 203]
Graph 380, size: [100, 170]
Graph 381, size: [100, 213]
Graph 382, size: [100, 246]
Graph 383, size: [100, 200]
Graph 384, size: [100, 200]
Graph 385, size: [100, 200]
Graph 386, size: [100, 200]
Graph 387, size: [100, 200]
Graph 388, size: [100, 200]
Graph 389, size: [100, 200]
Graph 390, size: [100, 200]
Graph 391, size: [100, 200]
Graph 392, size: [100, 200]
Graph 393, size: [74, 328]
Graph 394, size: [98, 169]
Graph 395, size: [89, 270]
Graph 396, size: [100, 237]
Graph 397, size: [74, 171]
Graph 398, size: [88, 237]
Graph 399, size: [89, 226]
Graph 400, size: [45, 102]
Graph 401, size: [63, 323]
Graph 402, size: [66, 452]
Graph 403, size: [87, 423]
Graph 404, size: [100, 489]
Graph 405, size: [100, 1570]
Graph 406, size: [73, 87]
Graph 407, size: [79, 236]
Graph 408, size: [88, 112]
Graph 409, size: [100, 111]
Graph 410, size: [96, 101]
Graph 411, size: [100, 1948]
Graph 412, size: [81, 93]
Graph 413, size: [81, 106]
Graph 414, size: [30, 44]
Graph 415, size: [30, 87]
Graph 416, size: [30, 131]
Graph 417, size: [30, 218]
Graph 418, size: [30, 305]
Graph 419, size: [50, 61]
Graph 420, size: [50, 123]
Graph 421, size: [50, 245]
Graph 422, size: [50, 368]
Graph 423, size: [50, 613]
Graph 424, size: [50, 858]
Graph 425, size: [70, 121]
Graph 426, size: [70, 242]
Graph 427, size: [70, 483]
Graph 428, size: [70, 725]
Graph 429, size: [70, 1208]
Graph 430, size: [70, 1691]
Graph 431, size: [100, 248]
Graph 432, size: [100, 495]
Graph 433, size: [100, 990]
Graph 434, size: [100, 1485]
Graph 435, size: [100, 2475]
Graph 436, size: [100, 3465]
Graph 437, size: [63, 1953]
Graph 438, size: [89, 118]
Graph 439, size: [100, 200]
Graph 440, size: [100, 250]
Graph 441, size: [30, 44]
Graph 442, size: [70, 725]
Graph 443, size: [70, 483]
Graph 444, size: [50, 858]
Graph 445, size: [70, 1208]
Graph 446, size: [30, 305]
Graph 447, size: [50, 61]
Graph 448, size: [50, 123]
Graph 449, size: [70, 1691]
Graph 450, size: [30, 218]
Graph 451, size: [50, 245]
Graph 452, size: [50, 368]
Graph 453, size: [30, 131]
Graph 454, size: [70, 121]
Graph 455, size: [70, 242]
Graph 456, size: [50, 613]
Graph 457, size: [30, 87]
Graph 458, size: [100, 1554]
Graph 459, size: [92, 100]
Graph 460, size: [70, 137]
Graph 461, size: [70, 1207]
Graph 462, size: [96, 1587]
Graph 463, size: [71, 775]
Graph 464, size: [63, 89]
Graph 465, size: [90, 1722]
Graph 466, size: [88, 197]
Graph 467, size: [94, 1404]
Graph 468, size: [12, 61]
Graph 469, size: [15, 102]
Graph 470, size: [100, 180]
Graph 471, size: [100, 103]
Graph 472, size: [81, 144]
Graph 473, size: [24, 97]
Graph 474, size: [100, 474]
Graph 475, size: [100, 501]
Graph 476, size: [100, 477]
Graph 477, size: [100, 505]
Graph 478, size: [100, 518]
Graph 479, size: [100, 471]
Graph 480, size: [100, 490]
Graph 481, size: [100, 474]
Graph 482, size: [100, 543]
Graph 483, size: [100, 491]
Graph 484, size: [100, 342]
Graph 485, size: [100, 382]
Graph 486, size: [100, 473]
Graph 487, size: [100, 464]
Graph 488, size: [75, 1930]
Graph 489, size: [100, 201]
Graph 490, size: [100, 1393]
Graph 491, size: [100, 391]
Graph 492, size: [100, 1000]
Graph 493, size: [100, 1914]
Graph 494, size: [100, 700]
Graph 495, size: [100, 1235]
Graph 496, size: [100, 132]
Graph 497, size: [100, 150]
Graph 498, size: [100, 363]
Graph 499, size: [70, 90]
Graph 500, size: [65, 110]
Graph 501, size: [63, 1953]
Graph 502, size: [100, 180]
Graph 503, size: [100, 400]
Graph 504, size: [88, 1936]
Graph 505, size: [85, 1988]
Graph 506, size: [26, 65]
Graph 507, size: [100, 502]
Graph 508, size: [100, 471]
Graph 509, size: [100, 500]
Graph 510, size: [100, 485]
Graph 511, size: [100, 488]
Graph 512, size: [3, 3]
Graph 513, size: [4, 4]
Graph 514, size: [4, 4]
Graph 515, size: [4, 4]
Graph 516, size: [4, 4]
Graph 517, size: [100, 1275]
Graph 518, size: [75, 704]
Graph 519, size: [50, 325]
Graph 520, size: [100, 99]
Graph 521, size: [75, 74]
Graph 522, size: [50, 49]
Graph 523, size: [100, 219]
Graph 524, size: [75, 164]
